"PA","SZ"
"Ang Mo Kio","Ang Mo Kio Town Centre"
"Ang Mo Kio","Cheng San"
"Ang Mo Kio","Chong Boon"
"Ang Mo Kio","Kebun Bahru"
"Ang Mo Kio","Sembawang Hills"
"Ang Mo Kio","Shangri-La"
"Ang Mo Kio","Tagore"
"Ang Mo Kio","Townsville"
"Ang Mo Kio","Yio Chu Kang"
"Ang Mo Kio","Yio Chu Kang East"
"Ang Mo Kio","Yio Chu Kang North"
"Ang Mo Kio","Yio Chu Kang West"
"Bedok","Bayshore"
"Bedok","Bedok North"
"Bedok","Bedok Reservoir"
"Bedok","Bedok South"
"Bedok","Frankel"
"Bedok","Kaki Bukit"
"Bedok","Kembangan"
"Bedok","Siglap"
"Bishan","Bishan East"
"Bishan","Marymount"
"Bishan","Upper Thomson"
"Boon Lay","Liu Fang"
"Boon Lay","Samulun"
"Boon Lay","Shipyard"
"Boon Lay","Tukang"
"Bukit Batok","Brickworks"
"Bukit Batok","Bukit Batok Central"
"Bukit Batok","Bukit Batok East"
"Bukit Batok","Bukit Batok South"
"Bukit Batok","Bukit Batok West"
"Bukit Batok","Gombak"
"Bukit Batok","Guilin"
"Bukit Batok","Hillview"
"Bukit Batok","Hong Kah North"
"Bukit Merah","Alexandra Hill"
"Bukit Merah","Alexandra North"
"Bukit Merah","Bukit Ho Swee"
"Bukit Merah","Bukit Merah"
"Bukit Merah","City Terminals"
"Bukit Merah","Depot Road"
"Bukit Merah","Everton Park"
"Bukit Merah","Henderson Hill"
"Bukit Merah","Kampong Tiong Bahru"
"Bukit Merah","Maritime Square"
"Bukit Merah","Redhill"
"Bukit Merah","Singapore General Hospital"
"Bukit Merah","Telok Blangah Drive"
"Bukit Merah","Telok Blangah Rise"
"Bukit Merah","Telok Blangah Way"
"Bukit Merah","Tiong Bahru"
"Bukit Merah","Tiong Bahru Station"
"Bukit Panjang","Bangkit"
"Bukit Panjang","Dairy Farm"
"Bukit Panjang","Fajar"
"Bukit Panjang","Jelebu"
"Bukit Panjang","Nature Reserve"
"Bukit Panjang","Saujana"
"Bukit Panjang","Senja"
