Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),HeuristicDistance (km),PeriodName,ChosenTime,Weekday,Weekend,PublicHoliday,PeakHour,OriginalHeuristicDistance
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Morning,06:30:00,1,0,0,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Morning Peak,08:30:00,1,0,0,1,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Late Morning,10:45:00,1,0,0,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Lunch Peak,13:00:00,1,0,0,1,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Afternoon,15:30:00,1,0,0,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Evening Peak,18:30:00,1,0,0,1,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Evening,21:00:00,1,0,0,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Late Night Non-peak,23:30:00,1,0,0,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Non-peak Morning,06:30:00,0,1,0,0,0.222793891256877
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0.0234051913770348,0.0300620466660841,0.0264510555820945,0.0,0.0,0.0076343589973501,Morning Peak,08:30:00,0,1,0,1,0.222793891256877
