"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Distance_km"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"ALEXANDRA HOSPITAL",1.286829,103.802524,10.7498766254331
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,12.006667984123
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.81807258373632
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"KK WOMEN'S AND CHILDREN'S HOSPITAL",1.310712,103.847062,6.90054346073334
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL UNIVERSITY HOSPITAL",1.294064,103.782751,11.2830172199569
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL",1.334271,103.744626,12.1393578898135
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,5.88551634464969
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGAPORE GENERAL HOSPITAL",1.279673,103.836669,10.4131057316329
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.6940307283695
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"WOODLANDS HEALTH",1.425362,103.795606,8.16094728231649
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KALLANG",1.316859,103.859038,6.36377137296303
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.25512739296439
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG",1.448117,103.822965,8.78764739607724
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.222793891256877
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - GEYLANG",1.319611,103.887229,7.42461265007628
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,4.73352161414705
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.43369883876577
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - WOODLANDS",1.431026,103.776064,10.1888992887273
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,6.47056672353437
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,10.7629950715461
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - BUKIT MERAH",1.284206,103.817674,10.3668815449396
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,10.3786138249006
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - OUTRAM",1.279985,103.83916,10.3521910069155
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - PASIR RIS",1.373674,103.948332,11.2856038123982
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,5.84587375907892
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"SINGHEALTH POLYCLINICS - TAMPINES",1.357631,103.946114,11.1662451892894
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"BUKIT BATOK POLYCLINIC",1.352161,103.748974,11.1149168687326
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"BUKIT PANJANG POLYCLINIC",1.383194,103.760973,9.61235789089972
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"CHOA CHU KANG POLYCLINIC",1.382356,103.752076,10.5850394888897
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"CLEMENTI POLYCLINIC",1.312991,103.765878,11.1862065568553
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"JURONG POLYCLINIC",1.350189,103.730642,13.1558047795678
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"PIONEER POLYCLINIC",1.338732,103.700228,16.7287177150794
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"QUEENSTOWN POLYCLINIC",1.298751,103.801618,9.64274030929614
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"ALEXANDRA HOSPITAL",1.286829,103.802524,11.1386724458555
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"CHANGI GENERAL HOSPITAL",1.340571,103.949908,11.2346215546795
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.99197509258908
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"KK WOMEN'S AND CHILDREN'S HOSPITAL",1.310712,103.847062,6.93858175027157
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL UNIVERSITY HOSPITAL",1.294064,103.782751,11.8061533925363
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NG TENG FONG GENERAL HOSPITAL & JURONG COMMUNITY HOSPITAL",1.334271,103.744626,12.8980184320606
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,5.16971498271289
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGAPORE GENERAL HOSPITAL",1.279673,103.836669,10.5255730903553
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.76033351244657
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"WOODLANDS HEALTH",1.425362,103.795606,8.74892263476441
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KALLANG",1.316859,103.859038,6.23513202107324
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.52920093903441
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - SEMBAWANG",1.448117,103.822965,9.07040427361961
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.94131729085989
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - GEYLANG",1.319611,103.887229,6.95945569781054
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,3.92530262746354
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.25115076162673
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - WOODLANDS",1.431026,103.776064,10.8296331232514
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,6.61768532483786
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - BEDOK",1.327443,103.932362,10.0518038806519
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - BUKIT MERAH",1.284206,103.817674,10.641996868849
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - MARINE PARADE",1.302615,103.908394,9.85861766500022
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - OUTRAM",1.279985,103.83916,10.4438909093128
