"Planning Area","Total_Total","Total 0-14","Total 15-64","Total 65+","Males_Total","Males 0-14","Males 15-64","Males 65+","Females_Total","Females 0-14","Females 15-64","Females 65+"
"Ang Mo Kio","162280",18410,108640,35220,"77570",9320,52620,15630,"84700",9090,56030,19580
"Bedok","276990",34090,189540,53370,"134210",17260,92580,24370,"142790",16830,96950,29000
"Bishan","87320",10810,60470,16040,"42260",5760,29280,7230,"45060",5060,31210,8820
"Boon Lay","40",0,0,0,"-",0,0,0,"-",0,0,0
"Bukit Batok","158030",22430,113950,21670,"77480",11380,55770,10350,"80550",11050,58190,11330
"Bukit Merah","151250",19110,98840,33310,"72730",9720,48570,14460,"78520",9400,50280,18870
"Bukit Panjang","138270",20650,100010,17610,"68150",10500,49340,8340,"70120",10160,50670,9300
"Bukit Timah","77860",12980,51810,13090,"35980",5820,24130,6050,"41880",7170,27670,7030
"Central Water Catchment","-",0,0,0,"-",0,0,0,"-",0,0,0
"Changi","1850",420,1250,190,"960",200,670,110,"890",220,610,80
"Changi Bay","-",0,0,0,"-",0,0,0,"-",0,0,0
"Choa Chu Kang","192070",28480,143530,20070,"95690",14620,71490,9590,"96380",13860,72050,10480
"Clementi","91990",12750,60630,18620,"43630",6410,29030,8210,"48360",6330,31610,10440
"Downtown Core","3190",280,2500,440,"1590",140,1250,240,"1600",140,1260,200
"Geylang","110110",13030,75890,21200,"54260",6730,37880,9670,"55860",6300,38020,11540
"Hougang","227560",28880,161780,36910,"111490",14520,79670,17320,"116070",14370,82130,19600
"Jurong East","78600",8940,54690,14960,"38930",4610,27140,7170,"39670",4330,27550,7790
"Jurong West","262730",38570,190430,33730,"131900",19670,95930,16310,"130840",18900,94530,17420
"Kallang","101290",12160,67820,21300,"50040",6240,33970,9830,"51260",5930,33870,11470
"Lim Chu Kang","110",20,80,20,"60",10,30,20,"50",0,40,0
"Mandai","2090",270,1540,270,"990",130,740,140,"1100",150,820,150
"Marina East","-",0,0,0,"-",0,0,0,"-",0,0,0
"Marina South","-",0,0,0,"-",0,0,0,"-",0,0,0
"Marine Parade","46220",6730,30320,9170,"21700",3350,14450,3930,"24520",3400,15890,5250
"Museum","510",60,410,60,"260",30,200,20,"250",40,210,30
"Newton","8260",1490,5580,1200,"3950",780,2580,590,"4310",710,2990,610
"North-Eastern Islands","50",0,0,0,"-",0,0,0,"-",0,0,0
"Novena","49330",7680,32990,8680,"23930",4200,15920,3830,"25400",3470,17080,4830
"Orchard","920",160,610,150,"430",60,290,70,"490",90,340,70
"Outram","18340",2200,11470,4680,"9210",1100,5890,2230,"9130",1090,5600,2460
"Pasir Ris","147110",19940,110820,16370,"72540",10210,54660,7670,"74570",9720,56150,8700
"Paya Lebar","40",0,0,0,"-",0,0,0,"-",0,0,0
"Pioneer","80",0,0,0,"-",0,0,0,"-",0,0,0
"Punggol","174450",42900,118190,13400,"85940",22080,57850,6010,"88520",20810,60340,7390
"Queenstown","95930",12450,63160,20310,"45120",6440,30250,8430,"50820",6020,32910,11890
"River Valley","10070",1620,7140,1330,"4620",730,3280,630,"5450",890,3880,690
"Rochor","13120",1320,8850,2980,"6530",640,4500,1400,"6590",680,4330,1590
"Seletar","300",40,230,30,"140",20,110,10,"160",30,120,20
"Sembawang","102640",18530,74970,9170,"50710",9430,37050,4220,"51930",9100,37900,4930
"Sengkang","249370",49910,175260,24230,"122480",25580,85830,11080,"126890",24320,89400,13150
"Serangoon","116900",13120,81300,22500,"56370",6820,39250,10310,"60530",6300,42050,12210
"Simpang","-",0,0,0,"-",0,0,0,"-",0,0,0
"Singapore River","3260",660,2290,300,"1540",300,1090,170,"1730",360,1220,150
"Southern Islands","1940",360,1440,130,"920",160,680,70,"1020",200,780,70
"Straits View","-",0,0,0,"-",0,0,0,"-",0,0,0
"Sungei Kadut","750",100,500,150,"380",50,230,90,"370",50,260,90
"Tampines","259900",35210,186430,38260,"127000",18130,91000,17870,"132900",17070,95460,20390
"Tanglin","21810",4030,14590,3210,"10100",1910,6670,1530,"11700",2120,7900,1700
"Tengah","10",0,0,0,"-",0,0,0,"-",0,0,0
"Toa Payoh","121850",14710,81520,25630,"57890",7610,39230,11060,"63960",7110,42290,14570
"Tuas","70",0,0,0,"-",0,0,0,"-",0,0,0
"Western Islands","10",0,0,0,"-",0,0,0,"-",0,0,0
"Western Water Catchment","640",100,530,10,"290",50,230,10,"350",50,300,0
"Woodlands","255130",38490,191050,25590,"127990",19770,95960,12270,"127150",18740,95090,13330
"Yishun","221610",34100,158660,28870,"109470",17600,78370,13520,"112140",16500,80270,15380
