Planning_Area,Subzone,Latitude,Longitude
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813
Ang Mo Kio,Cheng San,1.372714745,103.8540953
Ang Mo Kio,Chong Boon,1.364264765,103.8556526
Ang Mo Kio,Kebun Bahru,1.373466881,103.8396101
Ang Mo Kio,Sembawang Hills,1.374715122,103.830766
Ang Mo Kio,Shangri-La,1.3679721,103.8383929
Ang Mo Kio,Tagore,1.386805517,103.8283384
Ang Mo Kio,Townsville,1.365354635,103.8484727
Ang Mo Kio,Yio Chu Kang,1.38558095,103.8462917
Ang Mo Kio,Yio Chu Kang East,1.383470389,103.8533961
Ang Mo Kio,Yio Chu Kang North,1.393696874,103.8468511
Ang Mo Kio,Yio Chu Kang West,1.381281675,103.8400624
Bedok,Bayshore,1.313840269,103.9486508
Bedok,Bedok North,1.330427053,103.9360164
Bedok,Bedok Reservoir,1.340040724,103.9263295
Bedok,Bedok South,1.321442781,103.9445541
Bedok,Frankel,1.314778991,103.920429
Bedok,Kaki Bukit,1.335577667,103.9095647
Bedok,Kembangan,1.324805841,103.9156144
Bedok,Siglap,1.306590764,103.9270862
Bishan,Bishan East,1.349823908,103.8530143
Bishan,Marymount,1.354359987,103.8448884
Bishan,Upper Thomson,1.357666632,103.8322824
Boon Lay,Liu Fang,1.318252778,103.7082322
Boon Lay,Samulun,1.308060598,103.7022969
Boon Lay,Shipyard,1.307497297,103.6892828
Boon Lay,Tukang,1.32565041,103.7092505
Bukit Batok,Brickworks,1.355656681,103.7422188
Bukit Batok,Bukit Batok Central,1.347994465,103.7504133
Bukit Batok,Bukit Batok East,1.349136451,103.7575371
Bukit Batok,Bukit Batok South,1.341039356,103.758126
Bukit Batok,Bukit Batok West,1.347480142,103.7422573
Bukit Batok,Gombak,1.369287868,103.7574856
Bukit Batok,Guilin,1.355463964,103.753812
Bukit Batok,Hillview,1.355649486,103.7639193
Bukit Batok,Hong Kah North,1.362712139,103.7480038
Bukit Merah,Alexandra Hill,1.287505823,103.8095865
Bukit Merah,Alexandra North,1.292281018,103.820274
Bukit Merah,Bukit Ho Swee,1.289671676,103.8304438
Bukit Merah,Bukit Merah,1.282014214,103.8185897
Bukit Merah,City Terminals,1.269641328,103.8411069
Bukit Merah,Depot Road,1.282221695,103.8085567
Bukit Merah,Everton Park,1.274949805,103.8363159
Bukit Merah,Henderson Hill,1.286984825,103.8223818
Bukit Merah,Kampong Tiong Bahru,1.278357271,103.8273508
Bukit Merah,Maritime Square,1.26869538,103.8136028
Bukit Merah,Redhill,1.287635382,103.8171624
Bukit Merah,Singapore General Hospital,1.279725254,103.8346414
Bukit Merah,Telok Blangah Drive,1.276654129,103.8088807
Bukit Merah,Telok Blangah Rise,1.274033421,103.8246025
Bukit Merah,Telok Blangah Way,1.277381609,103.8204741
Bukit Merah,Tiong Bahru,1.283879531,103.8313928
Bukit Merah,Tiong Bahru Station,1.284029905,103.8268264
Bukit Panjang,Bangkit,1.377110938,103.7742934
Bukit Panjang,Dairy Farm,1.36843179,103.7720462
Bukit Panjang,Fajar,1.384784973,103.7711457
Bukit Panjang,Jelebu,1.3759343,103.7662437
Bukit Panjang,Nature Reserve,1.35346855,103.7778109
Bukit Panjang,Saujana,1.386218802,103.7662553
Bukit Panjang,Senja,1.386116533,103.7605155
Bukit Timah,Anak Bukit,1.337882794,103.7715624
Bukit Timah,Coronation Road,1.325569984,103.8015381
Bukit Timah,Farrer Court,1.316838042,103.8051294
Bukit Timah,Hillcrest,1.333157324,103.8082295
Bukit Timah,Holland Road,1.327052452,103.7837635
Bukit Timah,Leedon Park,1.316954472,103.7969072
Bukit Timah,Swiss Club,1.340636866,103.7923107
Bukit Timah,Ulu Pandan,1.31631697,103.7812971
Central Water Catchment,Central Water Catchment,1.376655029,103.8011893
Changi,Changi Airport,1.347264546,104.0010066
Changi,Changi Point,1.390318702,103.982515
Changi,Changi West,1.365217388,103.9787512
Changi Bay,Changi Bay,1.322377314,104.0254249
Choa Chu Kang,Choa Chu Kang Central,1.38500877,103.7476454
Choa Chu Kang,Choa Chu Kang North,1.392432141,103.7465839
Choa Chu Kang,Keat Hong,1.375492103,103.7464597
Choa Chu Kang,Peng Siang,1.3787684,103.7371084
Choa Chu Kang,Teck Whye,1.381583152,103.754873
Choa Chu Kang,Yew Tee,1.400682782,103.7479364
Clementi,Clementi Central,1.312068896,103.763083
Clementi,Clementi North,1.318049409,103.7669448
Clementi,Clementi West,1.302521927,103.7630914
Clementi,Clementi Woods,1.304085342,103.7683016
Clementi,Faber,1.321956364,103.7568487
Clementi,Pandan,1.3080701,103.7545034
Clementi,Sunset Way,1.326284861,103.7686704
Clementi,Toh Tuck,1.331754062,103.7563404
Clementi,West Coast,1.316274703,103.7550886
Downtown Core,Anson,1.273717913,103.84361
Downtown Core,Bayfront,1.283334725,103.8585338
Downtown Core,Bugis,1.299145734,103.8560368
Downtown Core,Cecil,1.278642608,103.8488651
Downtown Core,Central,1.275673659,103.85242
Downtown Core,City Hall,1.292435766,103.853168
Downtown Core,Clifford Pier,1.285561906,103.8546994
Downtown Core,Marina Centre,1.291850751,103.8597186
Downtown Core,Maxwell,1.279415182,103.8458267
Downtown Core,Nicoll,1.2997274,103.8620479
Downtown Core,Phillip,1.285276843,103.8486542
Downtown Core,Raffles Place,1.28372,103.8510074
Downtown Core,Tanjong Pagar,1.275884519,103.8458786
Geylang,Aljunied,1.31445049,103.8835707
Geylang,Geylang East,1.316939215,103.8983482
Geylang,Kallang Way,1.325835571,103.8761032
Geylang,Kampong Ubi,1.32961125,103.8965728
Geylang,Macpherson,1.327367772,103.8852043
