"Planning_Area","Subzone","Subzone_Lat","Subzone_Long","Hospital_Polyclinic","Hospital_Polyclinic_Lat","Hospital_Polyclinic_Long","Distance_km"
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.222793891256877
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.43369883876577
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,4.73352161414705
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.25512739296439
"Ang Mo Kio","Ang Mo Kio Town Centre",1.372769579,103.846813,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.6940307283695
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.94131729085989
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,3.92530262746354
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.25115076162673
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SINGHEALTH POLYCLINICS - SENGKANG",1.392945,103.895375,5.11047388213067
"Ang Mo Kio","Cheng San",1.372714745,103.8540953,"SENGKANG GENERAL HOSPITAL",1.395568,103.894595,5.16971498271289
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.57877079882397
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,3.29755039988823
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,3.80081297641779
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,4.87081421261188
"Ang Mo Kio","Chong Boon",1.364264765,103.8556526,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KALLANG",1.316859,103.859038,5.28469750713895
"Ang Mo Kio","Kebun Bahru",1.373466881,103.8396101,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,0.69998759109351
"Ang Mo Kio","Kebun Bahru",1.373466881,103.8396101,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.80884874433985
"Ang Mo Kio","Kebun Bahru",1.373466881,103.8396101,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.02624573307027
"Ang Mo Kio","Kebun Bahru",1.373466881,103.8396101,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,5.53749548259004
"Ang Mo Kio","Kebun Bahru",1.373466881,103.8396101,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.6824416708706
"Ang Mo Kio","Sembawang Hills",1.374715122,103.830766,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.67360212735643
"Ang Mo Kio","Sembawang Hills",1.374715122,103.830766,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,4.87019687867979
"Ang Mo Kio","Sembawang Hills",1.374715122,103.830766,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,5.43486395494841
"Ang Mo Kio","Sembawang Hills",1.374715122,103.830766,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,5.62670603063843
"Ang Mo Kio","Sembawang Hills",1.374715122,103.830766,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,6.1426201577916
"Ang Mo Kio","Shangri-La",1.3679721,103.8383929,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.10006777767745
"Ang Mo Kio","Shangri-La",1.3679721,103.8383929,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,4.34105208222806
"Ang Mo Kio","Shangri-La",1.3679721,103.8383929,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,5.22571780189532
"Ang Mo Kio","Shangri-La",1.3679721,103.8383929,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,5.62120692427087
"Ang Mo Kio","Shangri-La",1.3679721,103.8383929,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,5.66667689559922
"Ang Mo Kio","Tagore",1.386805517,103.8283384,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,2.37605802459136
"Ang Mo Kio","Tagore",1.386805517,103.8283384,"NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB",1.418365,103.834375,3.57283621982197
"Ang Mo Kio","Tagore",1.386805517,103.8283384,"KHOO TECK PUAT HOSPITAL",1.42457,103.839433,4.37657954916688
"Ang Mo Kio","Tagore",1.386805517,103.8283384,"NATIONAL HEALTHCARE GROUP POLYCLINICS - YISHUN",1.430583,103.840191,5.04298994917203
"Ang Mo Kio","Tagore",1.386805517,103.8283384,"WOODLANDS HEALTH",1.425362,103.795606,5.62317397077815
"Ang Mo Kio","Townsville",1.365354635,103.8484727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO",1.37451,103.84582,1.0598778408711
"Ang Mo Kio","Townsville",1.365354635,103.8484727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH",1.334796,103.858977,3.59300599203276
"Ang Mo Kio","Townsville",1.365354635,103.8484727,"NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG",1.370231,103.889319,4.57286822474626
"Ang Mo Kio","Townsville",1.365354635,103.8484727,"TAN TOCK SENG HOSPITAL PTE LTD",1.321571,103.845849,4.87724666118863
