Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Morning Peak,0,08:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Lunch Peak,0,13:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Evening Peak,0,18:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,7.65,7.65,467.24,0,0.0,0.222793891256877,Weekend,Morning Peak,0,08:30:00,0,1,0
