Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekday,Morning Peak,0,08:30:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,22.93,4.68,308.62,0,18.25,2.35937282150834,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekday,Evening Peak,0,18:30:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,22.93,4.68,308.62,0,18.25,2.35937282150834,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekend,Morning Peak,0,08:30:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,22.93,4.68,308.62,0,18.25,2.35937282150834,Weekend,Lunch Peak,0,13:00:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekend,Evening Peak,0,18:30:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,22.93,4.68,308.62,0,18.25,2.35937282150834,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Bedok,Bayshore,1.313840269,103.9486508,SINGHEALTH POLYCLINICS - BEDOK,1.327443,103.932362,21.12,4.58,301.37,0,16.53,2.35937282150834,Public Holiday,Morning Peak,0,08:30:00,0,0,1
