Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Morning Peak,0,08:30:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Evening Peak,0,18:30:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Bishan,Bishan East,1.349823908,103.8530143,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,33.93,33.93,2243.0,0,0.0,1.79768979079596,Weekend,Morning Peak,0,08:30:00,0,1,0
