Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Morning Peak,0,08:30:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Evening Peak,0,18:30:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,17.92,7.22,478.2,0,10.7,0.845571705035699,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Morning Peak,0,08:30:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Lunch Peak,0,13:00:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Evening Peak,0,18:30:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,17.92,7.22,478.2,0,10.7,0.845571705035699,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Public Holiday,Morning Peak,0,08:30:00,0,0,1
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Public Holiday,Non-peak Late Morning,0,10:45:00,0,0,1
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Bukit Batok,Brickworks,1.355656681,103.7422188,BUKIT BATOK POLYCLINIC,1.352161,103.748974,11.57,7.22,478.2,0,4.35,0.845571705035699,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
