Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Morning Peak,0,08:30:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Evening Peak,0,18:30:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Morning Peak,0,08:30:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Lunch Peak,0,13:00:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Evening Peak,0,18:30:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Public Holiday,Non-peak Morning,0,06:30:00,0,0,1
Bukit Merah,Alexandra Hill,1.287505823,103.8095865,ALEXANDRA HOSPITAL,1.286829,103.802524,15.72,15.72,1019.14,0,0.0,0.788714844033842,Public Holiday,Morning Peak,0,08:30:00,0,0,1
