Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Non-peak Morning,0,06:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Morning Peak,0,08:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Evening Peak,0,18:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,19.38,4.52,279.59,0,14.87,1.6279095437733,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekend,Non-peak Morning,0,06:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekend,Morning Peak,0,08:30:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Bukit Panjang,Bangkit,1.377110938,103.7742934,BUKIT PANJANG POLYCLINIC,1.383194,103.760973,17.73,11.6,705.01,0,6.13,1.6279095437733,Weekend,Lunch Peak,0,13:00:00,0,1,0
