Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,32.57,9.95,621.93,1,17.47,2.839058261,Weekday,Non-peak Morning,0,6:30:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,30.1,9.95,621.93,1,17.48,2.839058261,Weekday,Morning Peak,0,8:30:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,26.88,7.8,488.02,1,15.53,2.839058261,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,30.33,10.18,634.08,1,17.73,2.839058261,Weekday,Lunch Peak,0,13:00:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,30.83,10.18,634.08,1,17.73,2.839058261,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,27.48,10.72,693.69,0,16.77,2.839058261,Weekday,Evening Peak,0,18:30:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,26.88,7.8,488.02,1,15.53,2.839058261,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,31.3,9.95,621.93,1,17.48,2.839058261,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,32.57,9.95,621.93,1,17.47,2.839058261,Weekend,Non-peak Morning,0,6:30:00,0,1,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,30.1,9.95,621.93,1,17.48,2.839058261,Weekend,Morning Peak,0,8:30:00,0,1,0
Bukit Timah,Anak Bukit,1.337882794,103.7715624,CLEMENTI POLYCLINIC,1.312991,103.765878,26.88,7.8,488.02,1,15.53,2.839058261,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
