Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Non-peak Morning,0,6:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Morning Peak,0,8:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Lunch Peak,0,13:00:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Evening Peak,0,18:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Non-peak Morning,0,6:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Morning Peak,0,8:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Lunch Peak,0,13:00:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Evening Peak,0,18:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Non-peak Evening,0,21:00:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Weekend,Late Night Non-peak,0,23:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Non-peak Morning,0,6:30:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Morning Peak,0,8:30:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Non-peak Late Morning,0,10:45:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Lunch Peak,0,13:00:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Non-peak Afternoon,0,15:30:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Evening Peak,0,18:30:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Non-peak Evening,0,21:00:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGHEALTH POLYCLINICS - OUTRAM,1.279985,103.83916,16.17,16.17,1057.06,0,0,0.854604062,Public Holiday,Late Night Non-peak,0,23:30:00,0,0,1
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Non-peak Morning,0,6:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Morning Peak,0,8:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Lunch Peak,0,13:00:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Evening Peak,0,18:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Non-peak Morning,0,6:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Morning Peak,0,8:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Lunch Peak,0,13:00:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Evening Peak,0,18:30:00,0,1,0
Downtown Core,Anson,1.273717913,103.84361,SINGAPORE GENERAL HOSPITAL,1.279673,103.836669,21.33,21.33,1387.64,0,0,1.016790057,Weekend,Non-peak Evening,0,21:00:00,0,1,0
