Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),Heuristic Distance (km),Day Type,Period Name,Peak Hour,Time,Weekday,Weekend,Public Holiday
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekday,Non-peak Morning,0,6:30:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekday,Morning Peak,0,8:30:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekday,Non-peak Late Morning,0,10:45:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.48,51.4,3652.79,0,20.08,3.735855986,Weekday,Lunch Peak,0,13:00:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.48,51.4,3652.79,0,20.08,3.735855986,Weekday,Non-peak Afternoon,0,15:30:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekday,Evening Peak,0,18:30:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekday,Non-peak Evening,0,21:00:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekday,Late Night Non-peak,0,23:30:00,1,0,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekend,Non-peak Morning,0,6:30:00,0,1,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekend,Morning Peak,0,8:30:00,0,1,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.98,49.97,3558.64,0,22.02,3.735855986,Weekend,Non-peak Late Morning,0,10:45:00,0,1,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.48,51.4,3652.79,0,20.08,3.735855986,Weekend,Lunch Peak,0,13:00:00,0,1,0
Seletar,Pulau Punggol Barat,1.425169193,103.8786983,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,71.48,51.4,3652.79,0,20.08,3.735855986,Weekend,Non-peak Afternoon,0,15:30:00,0,1,0
