Planning_Area,Subzone,Subzone_Lat,Subzone_Long,Hospital_Polyclinic,Hospital_Polyclinic_Lat,Hospital_Polyclinic_Long,itinerary_num,Duration (min),WalkTime (min),WalkDistance (m),Transfers,TransitTime (min),first_stop_name,first_stop_long,first_stop_lat,last_stop_name,last_stop_long,last_stop_lat,first_type,last_type
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0,7.65,7.65,467.24,0,0.0,no value,no value,no value,no value,no value,no value,,
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0,28.77,11.92,753.09,1,13.02,BISHAN MRT STATION,103.8481801,1.3508269,BLK 23,103.8572184,1.334358,SUBWAY,BUS
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0,30.4,5.5,337.53,1,22.13,OPP BLK 504,103.8478247,1.3746214,BLK 508,103.8880596,1.3714356,BUS,BUS
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0,22.45,13.5,845.11,0,8.95,YIO CHU KANG MRT STATION,103.8449606,1.3817273,YIO CHU KANG MRT STATION,103.8449606,1.3817273,SUBWAY,SUBWAY
Ang Mo Kio,Ang Mo Kio Town Centre,1.372769579,103.846813,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,0,22.85,13.47,877.49,0,9.38,BISHAN MRT STATION,103.8481801,1.3508269,TOA PAYOH MRT STATION,103.8475893,1.3324629,SUBWAY,SUBWAY
Ang Mo Kio,Cheng San,1.372714745,103.8540953,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0,21.72,21.72,1369.2,0,0.0,no value,no value,no value,no value,no value,no value,,
Ang Mo Kio,Cheng San,1.372714745,103.8540953,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0,24.15,7.37,454.14,0,16.78,BLK 570,103.8560128,1.3694903,BLK 508,103.8880596,1.3714356,BUS,BUS
Ang Mo Kio,Cheng San,1.372714745,103.8540953,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0,32.8,9.2,584.0,2,19.08,OPP BLK 522,103.8521389,1.3727083,BLK 23,103.8572184,1.334358,BUS,BUS
Ang Mo Kio,Cheng San,1.372714745,103.8540953,SINGHEALTH POLYCLINICS - SENGKANG,1.392945,103.895375,0,29.97,5.37,326.31,1,21.17,ITE COLLEGE CTRL,103.8557653,1.375995,BLK 323B,103.8930712,1.3920329,BUS,BUS
Ang Mo Kio,Cheng San,1.372714745,103.8540953,SENGKANG GENERAL HOSPITAL,1.395568,103.894595,0,34.5,7.82,496.91,1,20.93,ITE COLLEGE CTRL,103.8557653,1.375995,BLK 323B,103.8930712,1.3920329,BUS,BUS
Ang Mo Kio,Chong Boon,1.364264765,103.8556526,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0,20.08,15.72,1022.13,0,4.37,BLK 346,103.8505685,1.3671947,AFT ANG MO KIO INT,103.8482886,1.3716197,BUS,BUS
Ang Mo Kio,Chong Boon,1.364264765,103.8556526,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0,33.53,3.85,237.79,2,18.17,OPP TOWNSVILLE PR SCH,103.8552925,1.3593578,OPP BLK 231,103.8598835,1.3376514,BUS,BUS
Ang Mo Kio,Chong Boon,1.364264765,103.8556526,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0,22.62,3.6,231.67,1,15.77,BLK 564,103.8588615,1.3691886,BLK 508,103.8880596,1.3714356,BUS,BUS
Ang Mo Kio,Chong Boon,1.364264765,103.8556526,TAN TOCK SENG HOSPITAL PTE LTD,1.321571,103.845849,0,21.9,7.93,530.02,1,11.78,OPP TOWNSVILLE PR SCH,103.8552925,1.3593578,TOA PAYOH MRT STATION,103.8475893,1.3324629,BUS,SUBWAY
Ang Mo Kio,Chong Boon,1.364264765,103.8556526,NATIONAL HEALTHCARE GROUP POLYCLINICS - KALLANG,1.316859,103.859038,0,33.65,11.18,740.82,1,17.05,OPP TOWNSVILLE PR SCH,103.8552925,1.3593578,POTONG PASIR MRT STATION,103.8690421,1.3312248,BUS,SUBWAY
Ang Mo Kio,Kebun Bahru,1.373466881,103.8396101,NATIONAL HEALTHCARE GROUP POLYCLINICS - ANG MO KIO,1.37451,103.84582,0,16.85,16.85,1107.73,0,0.0,no value,no value,no value,no value,no value,no value,,
Ang Mo Kio,Kebun Bahru,1.373466881,103.8396101,NATIONAL HEALTHCARE GROUP POLYCLINICS - TOA PAYOH,1.334796,103.858977,0,41.73,18.47,1188.23,2,17.13,MAYFLOWER STN EXIT 5,103.8367907,1.3704697,PEI CHUN PUBLIC SCH,103.8556225,1.3362578,BUS,BUS
Ang Mo Kio,Kebun Bahru,1.373466881,103.8396101,NATIONAL HEALTHCARE GROUP POLYCLINICS - KHATIB,1.418365,103.834375,0,30.53,13.05,826.69,1,14.05,OPP BLK 155,103.8392761,1.376085,no value,no value,no value,BUS,SUBWAY
Ang Mo Kio,Kebun Bahru,1.373466881,103.8396101,NATIONAL HEALTHCARE GROUP POLYCLINICS - HOUGANG,1.370231,103.889319,0,39.03,6.97,449.28,1,25.28,MAYFLOWER STN EXIT 5,103.8367907,1.3704697,BLK 508,103.8880596,1.3714356,BUS,BUS
Ang Mo Kio,Kebun Bahru,1.373466881,103.8396101,KHOO TECK PUAT HOSPITAL,1.42457,103.839433,0,40.43,8.62,552.82,2,26.67,OPP BLK 155,103.8392761,1.376085,OPP BLK 757,103.8353696,1.4265729,BUS,BUS
